Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
Randy Arozarena\arozara01,24,5,13,0,0,0,0,0,0,0,0,1,0.1,0.506,0.5,0.1,0,1,,Free Agency,/89
Harrison Bader\baderha01,25,106,319,-6,0,0,14,2,10,0.9,10,21,1.9,0.51,0.506,0.6,1.5,7,"$578,300 ",Amateur Draft,*8
John Brebbia*\brebbjo01,29,54,1,0,0,0,0,0,1,0.1,0,1,0.1,0.501,0.5,0.1,0,1,"$569,300 ",Rule 5 Draft,1
Genesis Cabrera*\cabrege01,22,6,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,0.492,0.5,-0.1,0,-1,,Traded,/1
Matt Carpenter*\carpema01,33,110,435,-8,-2,0,3,2,-6,-0.7,14,8,0.6,0.495,0.496,0.4,0.4,5,"$14,750,000 ",Amateur Draft,*5/3D
Paul DeJong\dejonpa01,25,138,575,3,1,0,10,7,20,1.8,19,39,3.6,0.515,0.512,2.8,1.6,29,"$1,666,667 ",Amateur Draft,*6
Tommy Edman#\edmanto01,24,71,254,1,2,1,6,1,11,1,8,20,1.8,0.516,0.507,1.3,0.6,13,,Amateur Draft,549/87
Junior Fernandez\fernaju01,22,5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,,Amateur Free Agent,/1
Jack Flaherty\flaheja01,23,30,52,-7,-1,0,0,7,0,0,0,1,0,0.501,0.5,0.1,0,1,"$562,100 ",Amateur Draft,1
Dexter Fowler#\fowlede01,33,129,478,4,1,2,-1,-3,3,0.1,16,19,1.7,0.503,0.502,1.9,-0.5,20,"$16,500,000 ",Free Agency,*98
Giovanny Gallegos\gallegi01,27,52,3,-1,0,0,0,1,0,0,0,0,0,0.499,0.5,0,0,0,,Traded,1
John Gant\gantjo01,26,52,3,-1,0,0,0,1,0,0,0,0,0,0.499,0.5,0,0,0,"$571,300 ",Traded,1
Paul Goldschmidt\goldspa01,31,139,586,10,0,-1,6,-7,8,0.5,19,27,2.4,0.506,0.505,1.9,-0.2,21,"$14,500,000 ",Traded,*3
Luke Gregerson*\gregelu01,35,6,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,"$5,000,000 ",Free Agency,/1
Jedd Gyorko\gyorkje01,30,38,62,-3,0,0,0,0,-3,-0.3,2,-1,-0.1,0.493,0.498,-0.1,0,-1,"$13,000,000 ",Traded,5/431
Ryan Helsley\helslry01,24,15,3,0,0,0,0,1,0,0,0,0,0,0.502,0.5,0,0,0,,Amateur Draft,1
Jordan Hicks (60-day IL)\hicksjo03,22,28,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,"$555,000 ",Amateur Draft,1
Dakota Hudson\hudsoda02,24,26,52,-11,0,0,0,9,-2,-0.3,0,-2,-0.3,0.491,0.499,-0.3,0,-2,"$559,100 ",Amateur Draft,1
Andrew Knizner\kniznan01,24,15,52,-1,1,0,1,1,1,0.1,2,2,0.2,0.505,0.5,0.1,0.2,1,,Amateur Draft,3-Feb
Dominic Leone\leonedo01,27,34,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,"$1,260,000 ",Traded,1
Carlos Martinez\martica04,27,33,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,"$11,700,000 ",Free Agency,1
Jose Martinez\martijo08,30,114,355,0,1,-1,-9,-4,-14,-1.5,12,-2,-0.4,0.488,0.492,0.6,-1.4,7,"$1,125,000 ",Purchased,9/D7
Mike Mayers\mayermi01,27,12,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,"$563,700 ",Amateur Draft,1
Adalberto Mejia\mejiaad01,26,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,,Waivers,/1
Miles Mikolas\mikolmi01,30,27,54,-10,0,0,0,9,-1,-0.1,0,-1,-0.1,0.496,0.499,-0.1,0,-1,"$8,000,000 ",Free Agency,1
Andrew Miller*\millean01,34,56,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,-0.1,0,"$11,000,000 ",Free Agency,1
Yadier Molina\molinya01,36,93,363,-6,1,-2,2,5,1,-0.1,12,13,1.1,0.501,0.501,1,0.7,11,"$20,000,000 ",Amateur Draft,Feb-35
Yairo Munoz\munozya01,24,81,172,-7,0,0,-3,0,-10,-1,6,-4,-0.5,0.488,0.494,-0.2,-0.3,-1,"$562,000 ",Traded,5697/84
Tyler O'Neill\oneilty01,24,52,143,0,0,0,-2,-1,-3,-0.3,5,2,0.1,0.495,0.498,0.4,-0.4,4,"$564,000 ",Traded,Jul-98
Marcell Ozuna\ozunama01,28,109,452,7,3,0,-1,-4,5,0.3,15,20,1.8,0.505,0.503,2,-0.6,21,"$12,250,000 ",Traded,*7
Daniel Ponce de Leon\ponceda01,27,10,12,-3,0,0,0,2,0,0,0,0,0,0.496,0.5,0,0,0,,Amateur Draft,1
Rangel Ravelo\ravelra01,27,17,25,-1,0,0,1,0,0,0,1,1,0.1,0.501,0.5,0,0.1,0,,Free Agency,/3
Alex Reyes (7-day IL)\reyesal02,24,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,"$564,600 ",Amateur Free Agent,/1
Drew Robinson*\robindr01,27,5,7,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.477,0.499,-0.1,0,-1,"$564,100 ",Traded,/89
Chasen Shreve*\shrevch01,28,3,1,0,0,0,0,0,1,0.1,0,1,0.1,0.515,0.5,0.1,0,1,"$900,000 ",Traded,/1
Edmundo Sosa\sosaed01,23,5,4,0,0,0,0,0,0,0,0,0,0,0.496,0.5,0,0,0,,Amateur Free Agent,/4
Lane Thomas (60-day IL)\thomala02,23,34,44,4,0,0,1,0,5,0.4,1,6,0.6,0.514,0.503,0.5,0.1,5,,Traded,Aug-97
Michael Wacha\wachami01,27,24,36,-5,0,0,0,6,1,0,0,1,0,0.502,0.5,0,0,1,"$6,350,000 ",Amateur Draft,1
Adam Wainwright\wainwad01,37,24,48,-8,0,0,0,8,0,0,0,0,0,0.501,0.5,0,0,0,"$2,000,000 ",Free Agency,1
Tyler Webb*\webbty01,28,49,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,,Waivers,1
Matt Wieters#\wietema01,33,59,172,-5,-1,0,4,3,1,0,6,6,0.5,0.501,0.5,0.2,0.6,2,"$100,000 ",Free Agency,2
Kolten Wong*\wongko01,28,135,494,9,4,2,14,3,32,3,16,49,4.6,0.524,0.52,3.3,1.6,34,"$6,500,000 ",Amateur Draft,*4
Team Total,29,2006,5275,-46,9,2,46,48,58,3.8,163,221,19.7,0.503,0.502,16.3,3.6,175,"$152,815,167 ",,
