Week_of_season,Visitor,Hometeam,HomeScore,AwayScore,HomeSpread,AwaySpread,Total,pct_bets_vis_spread,pct_bets_home_spread,volume,pct_bets_over,pct_bets_under,,,,,,,,,,,
9,Lions,Packers,14,24,2.5,-2.5,48.5,0.58,0.42,169167,0.86,0.14,,,,,,,,,,,
9,Colts,Vikings,21,13,-5.5,5.5,47,0.31,0.69,220568,0.81,0.19,,,,,,,,,,,
9,Buccaneers,Chiefs,30,24,-9,9,45.5,0.48,0,245867,0.81,0.19,,,,,,,,,,,
10,Bengals,Ravens,35,34,-6,6,53,0.51,0.49,326015,0.83,0.17,,,,,,,,,,,
10,Giants,Panthers,20,17,6.5,-6.5,40.5,0.39,0.61,82132,0.71,0.29,,,,,,,,,,,
10,Patriots,Bears,3,19,-6.5,6.5,37.5,0.38,0.62,84843,0.81,0.19,,,,,,,,,,,
10,Vikings,Jaguars,7,12,7,-7,42.5,0.82,0.18,116231,0.79,0.21,,,,,,,,,,,
10,Steelers,Commanders,27,28,-2,2,45.5,0.66,0.34,119220,0.8,0.2,,,,,,,,,,,
10,Bills,Colts,20,30,4.5,-4.5,47,0.76,0.24,135270,0.75,0.25,,,,,,,,,,,
10,Broncos,Chiefs,16,14,-7,7,42.5,0.36,0.64,102705,0.82,0.18,,,,,,,,,,,
10,Falcons,Saints,20,17,3.5,-3.5,47.5,0.81,0.19,129918,0.81,0.19,,,,,,,,,,,
10,49ers,Buccaneers,20,23,6.5,-6.5,50,0.55,0.45,122133,0.72,0.28,,,,,,,,,,,
10,Titans,Chargers,27,17,-8.5,8.5,39.5,0.2,0.8,103321,0.81,0.19,,,,,,,,,,,
10,Jets,Cardinals,31,6,2,-2,46,0.34,0.66,115953,0.71,0.29,,,,,,,,,,,
10,Eagles,Cowboys,6,34,7.5,-7.5,44.5,0.78,0.22,134285,0.87,0.13,,,,,,,,,,,
10,Lions,Texans,23,26,4,-4,49,0.66,0.34,246473,0.8,0.2,,,,,,,,,,,
10,Dolphins,Rams,15,23,-2.5,2.5,49.5,0.47,0.53,260346,0.65,0.35,,,,,,,,,,,
11,Commanders,Eagles,26,18,-4.5,4.5,49.5,0.44,0.56,284580,0.8,0.2,,,,,,,,,,,
11,Ravens,Steelers,18,16,3,-3,48.5,0.32,0.68,173074,0.6,0.4,,,,,,,,,,,
11,Vikings,Titans,13,23,6,-6,40,0.84,0.16,103407,0.78,0.22,,,,,,,,,,,
11,Browns,Saints,35,14,1,-1,44,0.31,0.69,125829,0.43,0.57,,,,,,,,,,,
11,Jaguars,Lions,52,6,-13.5,13.5,47.5,0.19,0.81,125601,0.76,0.24,,,,,,,,,,,
11,Packers,Bears,19,20,6,-6,41,0.77,0.23,121436,0.75,0.25,,,,,,,,,,,
11,Raiders,Dolphins,34,19,-8,8,43.5,0.25,0.75,86928,0.72,0.28,,,,,,,,,,,
11,Rams,Patriots,22,28,4,-4,42.5,0.73,0.27,82718,0.47,0.53,,,,,,,,,,,
11,Colts,Jets,27,28,-4,4,43,0.59,0.41,87266,0.65,0.35,,,,,,,,,,,
11,Falcons,Broncos,38,6,-2,2,44.5,0.76,0.24,110152,0.72,0.28,,,,,,,,,,,
11,Seahawks,49ers,17,20,-6,6,48.5,0.35,0.65,117453,0.66,0.34,,,,,,,,,,,
11,Chiefs,Bills,30,21,-2.5,2.5,47,0.85,0.15,185232,0.77,0.23,,,,,,,,,,,
11,Bengals,Chargers,34,27,-1,1,48,0.81,0.19,226530,0.62,0.38,,,,,,,,,,,
11,Texans,Cowboys,10,34,7,-7,41.5,0.72,0.28,256499,0.5,0.5,,,,,,,,,,,
12,Steelers,Browns,24,19,3.5,-3.5,36.5,0.67,0.33,260119,0.78,0.22,,,,,,,,,,,
12,Chiefs,Panthers,27,30,10.5,-10.5,43,0.77,0.23,115186,0.83,0.17,,,,,,,,,,,
12,Vikings,Bears,27,30,3,-3,39.5,0.52,0.48,135946,0.76,0.24,,,,,,,,,,,
12,Cowboys,Commanders,26,34,-10.5,10.5,44.5,0.28,0.72,118321,0.78,0.22,,,,,,,,,,,
12,Patriots,Dolphins,34,15,-7.5,7.5,45.5,0.39,0.61,98646,0.7,0.3,,,,,,,,,,,
12,Titans,Texans,27,32,-8,8,40.5,0.27,0.73,107471,0.77,0.23,,,,,,,,,,,
12,Lions,Colts,6,24,7,-7,50.5,0.78,0.22,195415,0.74,0.26,,,,,,,,,,,
12,Buccaneers,Giants,7,30,6,-6,40,0.82,0.18,128636,0.84,0.16,,,,,,,,,,,
12,Broncos,Raiders,19,29,5.5,-5.5,41.5,0.71,0.29,108794,0.79,0.21,,,,,,,,,,,
12,49ers,Packers,38,10,-6.5,6.5,44.5,0.54,0.46,124703,0.77,0.23,,,,,,,,,,,
12,Cardinals,Seahawks,16,6,1,-1,46.5,0.49,0.51,125955,0.73,0.27,,,,,,,,,,,
12,Eagles,Rams,20,37,3,-3,48.5,0.74,0.26,219396,0.69,0.31,,,,,,,,,,,
12,Ravens,Chargers,23,30,3,-3,51,0.6,0.4,280082,0.54,0.46,,,,,,,,,,,
13,Bears,Lions,23,20,-10,10,48,0.26,0.74,298348,0.79,0.21,,,,,,,,,,,
13,Giants,Cowboys,27,20,-4,4,38.5,0.25,0.75,262790,0.86,0.14,,,,,,,,,,,
13,Dolphins,Packers,30,17,-3.5,3.5,47.5,0.43,0.57,277340,0.7,0.3,,,,,,,,,,,
13,Raiders,Chiefs,19,17,-13.5,13.5,42.5,0.5,0.5,160720,0.86,0.14,,,,,,,,,,,
13,Seahawks,Jets,21,26,-1.5,1.5,41.5,0.75,0.25,107739,0.73,0.27,,,,,,,,,,,
13,Steelers,Bengals,38,44,-3,3,46,0.68,0.32,143615,0.71,0.29,,,,,,,,,,,
13,Colts,Patriots,24,25,2.5,-2.5,41,0.66,0.34,97838,0.66,0.34,,,,,,,,,,,
13,Cardinals,Vikings,23,22,-3.5,3.5,45.5,0.36,0.64,118851,0.78,0.22,,,,,,,,,,,
13,Titans,Commanders,42,19,-6,6,45,0.41,0.59,109082,0.7,0.3,,,,,,,,,,,
13,Texans,Jaguars,20,23,3,-3,45,0.81,0.19,128181,0.78,0.22,,,,,,,,,,,
13,Chargers,Falcons,13,17,1,-1,47,0.6,0.4,128100,0.71,0.29,,,,,,,,,,,
13,Buccaneers,Panthers,23,26,6.5,-6.5,46,0.8,0.2,147321,0.73,0.27,,,,,,,,,,,
13,Rams,Saints,14,21,3,-3,49,0.7,0.3,112863,0.66,0.34,,,,,,,,,,,
13,Eagles,Ravens,19,24,-3,3,50,0.65,0.35,160195,0.71,0.29,,,,,,,,,,,
13,49ers,Bills,35,10,-6.5,6.5,45.5,0.39,0.61,218427,0.81,0.19,,,,,,,,,,,
13,Browns,Broncos,41,32,-6.5,6.5,41.5,0.31,0.69,269924,0.77,0.23,,,,,,,,,,,
14,Packers,Lions,34,31,-3.5,3.5,53,0.48,0.52,333664,0.63,0.37,,,,,,,,,,,
14,Jets,Dolphins,32,26,-6.5,6.5,45.5,0.27,0.73,119518,0.8,0.2,,,,,,,,,,,
14,Panthers,Eagles,22,16,-14,14,45,0.42,0.58,105755,0.84,0.16,,,,,,,,,,,
14,Browns,Steelers,27,14,-6,6,42.5,0.36,0.64,132377,0.85,0.15,,,,,,,,,,,
14,Raiders,Buccaneers,28,13,-6.5,6.5,47,0.31,0.69,132952,0.81,0.19,,,,,,,,,,,
14,Jaguars,Titans,6,10,-3,3,40.5,0.4,0.6,90957,0.83,0.17,,,,,,,,,,,
14,Saints,Giants,11,14,5.5,-5.5,41,0.68,0.32,95763,0.82,0.18,,,,,,,,,,,
14,Falcons,Vikings,42,21,-6,6,46.5,0.58,0.42,149128,0.79,0.21,,,,,,,,,,,
14,Seahawks,Cardinals,18,30,-3,3,45.5,0.7,0.3,110541,0.69,0.31,,,,,,,,,,,
14,Bears,49ers,38,13,-3,3,43.5,0.63,0.37,112929,0.78,0.22,,,,,,,,,,,
14,Bills,Rams,44,42,3.5,-3.5,50.5,0.72,0.28,128782,0.76,0.24,,,,,,,,,,,
14,Chargers,Chiefs,19,17,-4.5,4.5,43,0.56,0.44,219341,0.83,0.17,,,,,,,,,,,
14,Bengals,Cowboys,20,27,4.5,-4.5,50.5,0.49,0.51,291446,0.71,0.29,,,,,,,,,,,
15,Rams,49ers,6,12,-3,3,48.5,0.68,0.32,284651,0.77,0.23,,,,,,,,,,,
15,Cowboys,Panthers,14,30,-2.5,2.5,42,0.72,0.28,112843,0.8,0.2,,,,,,,,,,,
15,Chiefs,Browns,7,21,4,-4,41,0.57,0.43,125162,0.76,0.24,,,,,,,,,,,
15,Dolphins,Texans,20,12,-2.5,2.5,46.5,0.62,0.38,124738,0.73,0.27,,,,,,,,,,,
15,Bengals,Titans,27,37,6,-6,46,0.83,0.17,117544,0.63,0.37,,,,,,,,,,,
15,Commanders,Saints,19,20,7.5,-7.5,44.5,0.77,0.23,121340,0.79,0.21,,,,,,,,,,,
15,Jets,Jaguars,25,32,3.5,-3.5,41.5,0.7,0.3,75599,0.66,0.34,,,,,,,,,,,
15,Ravens,Giants,14,35,16.5,-16.5,43.5,0.52,0.48,94259,0.78,0.22,,,,,,,,,,,
15,Steelers,Eagles,27,13,-5.5,5.5,43,0.75,0.25,134149,0.81,0.19,,,,,,,,,,,
15,Colts,Broncos,31,13,-4.5,4.5,44,0.37,0.63,104200,0.78,0.22,,,,,,,,,,,
15,Bills,Lions,42,48,-2.5,2.5,55.5,0.69,0.31,175301,0.72,0.28,,,,,,,,,,,
15,Buccaneers,Chargers,17,40,-3,3,46,0.68,0.32,90276,0.74,0.26,,,,,,,,,,,
15,Patriots,Cardinals,30,17,-6,6,46.5,0.33,0.67,82541,0.67,0.33,,,,,,,,,,,
15,Packers,Seahawks,13,30,3,-3,48,0.54,0.46,180289,0.83,0.17,,,,,,,,,,,
15,Bears,Vikings,30,12,-7,7,43.5,0.22,0.78,231165,0.81,0.19,,,,,,,,,,,
15,Falcons,Raiders,9,15,6,-6,44.5,0.85,0.15,175775,0.81,0.19,,,,,,,,,,,
16,Broncos,Chargers,34,27,-2.5,2.5,41.5,0.66,0.34,218634,0.78,0.22,,,,,,,,,,,
16,Texans,Chiefs,27,19,-3,3,42.5,0.61,0.39,143171,0.78,0.22,,,,,,,,,,,
16,Steelers,Ravens,34,17,-7,7,44.5,0.59,0.41,172600,0.69,0.31,,,,,,,,,,,
16,Browns,Bengals,24,6,-10,10,46,0.19,0.81,127792,0.62,0.38,,,,,,,,,,,
16,Rams,Jets,9,19,3,-3,47,0.76,0.24,113575,0.65,0.35,,,,,,,,,,,
16,Eagles,Commanders,36,33,4,-4,47,0.74,0.26,129792,0.73,0.27,,,,,,,,,,,
16,Cardinals,Panthers,36,30,5.5,-5.5,47,0.71,0.29,101494,0.59,0.41,,,,,,,,,,,
16,Titans,Colts,38,30,-4,4,42.5,0.33,0.67,73448,0.68,0.32,,,,,,,,,,,
16,Lions,Bears,17,34,6.5,-6.5,47.5,0.85,0.15,146594,0.68,0.32,,,,,,,,,,,
16,Giants,Falcons,34,7,-9.5,9.5,43,0.39,0.61,88448,0.66,0.34,,,,,,,,,,,
16,Vikings,Seahawks,24,27,2.5,-2.5,43,0.67,0.33,120537,0.76,0.24,,,,,,,,,,,
16,Patriots,Bills,24,21,-14,14,48,0.19,0.81,110359,0.7,0.3,,,,,,,,,,,
16,49ers,Dolphins,29,17,2,-2,44,0.34,0.66,98995,0.73,0.27,,,,,,,,,,,
16,Jaguars,Raiders,19,14,-2.5,2.5,41.5,0.7,0.3,71621,0.67,0.33,,,,,,,,,,,
16,Buccaneers,Cowboys,26,24,4.5,-4.5,47,0.77,0.23,206042,0.65,0.35,,,,,,,,,,,
16,Saints,Packers,34,0,-14,14,43.5,0.43,0.57,198328,0.8,0.2,,,,,,,,,,,
17,Chiefs,Steelers,10,29,1.5,-1.5,46,0.5,0.5,254763,0.78,0.22,,,,,,,,,,,
17,Ravens,Texans,2,31,6.5,-6.5,47,0.61,0.39,279461,0.7,0.3,,,,,,,,,,,
17,Seahawks,Bears,3,6,4,-4,42,0.72,0.28,221305,0.75,0.25,,,,,,,,,,,
17,Chargers,Patriots,7,40,6,-6,41.5,0.78,0.22,139354,0.74,0.26,,,,,,,,,,,
17,Broncos,Bengals,30,24,-3,3,50.5,0.56,0.44,186216,0.64,0.36,,,,,,,,,,,
17,Cardinals,Rams,13,9,-6.5,6.5,48,0.36,0.64,139213,0.66,0.34,,,,,,,,,,,
17,Jets,Bills,40,14,-10,10,44.5,0.32,0.68,142040,0.7,0.3,,,,,,,,,,,
17,Raiders,Saints,10,25,1.5,-1.5,37.5,0.51,0.49,75730,0.76,0.24,,,,,,,,,,,
17,Colts,Giants,45,33,7.5,-7.5,40.5,0.76,0.24,114837,0.76,0.24,,,,,,,,,,,
17,Panthers,Buccaneers,48,14,-10,10,47.5,0.46,0.54,153768,0.68,0.32,,,,,,,,,,,
17,Titans,Jaguars,20,13,0,0,38.5,0.53,0.47,75200,0.73,0.27,,,,,,,,,,,
17,Cowboys,Eagles,41,7,-7.5,7.5,37.5,0.45,0.55,114999,0.86,0.14,,,,,,,,,,,
17,Dolphins,Browns,3,20,3,-3,32.5,0.69,0.31,94118,0.83,0.17,,,,,,,,,,,
17,Packers,Vikings,27,25,-1,1,49,0.56,0.44,173584,0.8,0.2,,,,,,,,,,,
17,Falcons,Commanders,30,24,-3.5,3.5,46.5,0.33,0.67,211172,0.72,0.28,,,,,,,,,,,
17,Lions,49ers,34,40,3.5,-3.5,50.5,0.82,0.18,243262,0.62,0.38,,,,,,,,,,,
18,Browns,Ravens,35,10,-20,20,42,0.48,0.52,150305,0.82,0.18,,,,,,,,,,,
18,Bengals,Steelers,17,19,2.5,-2.5,48.5,0.56,0.44,226919,0.77,0.23,,,,,,,,,,,
18,Bills,Patriots,23,16,3,-3,36.5,0.7,0.3,48775,0.85,0.15,,,,,,,,,,,
18,Texans,Titans,14,23,-2.5,2.5,36.5,0.75,0.25,54622,0.78,0.22,,,,,,,,,,,
18,Jaguars,Colts,26,23,-3.5,3.5,45.5,0.43,0.57,57343,0.77,0.23,,,,,,,,,,,
18,Commanders,Cowboys,19,23,7,-7,43.5,0.7,0.29,96536,0.81,0.19,,,,,,,,,,,
18,Saints,Buccaneers,27,19,-14.5,14.5,44.5,0.16,0.84,119649,0.82,0.18,,,,,,,,,,,
18,Panthers,Falcons,38,44,-8,8,48.5,0.38,0.62,89271,0.66,0.34,,,,,,,,,,,
18,Bears,Packers,22,24,-10,10,41.5,0.22,0.78,72322,0.78,0.22,,,,,,,,,,,
18,Giants,Eagles,20,13,-3,3,36,0.28,0.72,60791,0.85,0.15,,,,,,,,,,,
18,Chargers,Raiders,20,34,7,-7,42,0.8,0.2,78184,0.46,0.54,,,,,,,,,,,
18,Seahawks,Rams,25,30,7,-7,38.5,0.42,0.58,85999,0.55,0.45,,,,,,,,,,,
18,Dolphins,Jets,32,20,-2,2,39.5,0.69,0.31,97798,0.5,0.5,,,,,,,,,,,
18,49ers,Cardinals,47,24,-4.5,4.5,43,0.59,0.41,62937,0.87,0.13,,,,,,,,,,,
18,Chiefs,Broncos,38,0,-11,11,40.5,0.77,0.23,120891,0.84,0.16,,,,,,,,,,,
18,Vikings,Lions,31,9,-3,3,56.5,0.58,0.42,296727,0.76,0.24,,,,,,,,,,,
